fileName,meta_tags,meta_keywords,max_keyword_length,min_keyword_length,descriptor_words,words_alt_images,avgNoOfWordsInLink,total_links,image_links,total_images,alt_images,div,paragraphs,tables,total_headings,link_headings,class
prepare_birthday_card_72.html,7,1,1,0,1,55,1.8148148148148178,108,12,17,17,151,19,0,16,0,
prepare_birthday_card_73.html,4,0,0,0,1,217,1.8950617283950657,162,41,148,138,249,2,0,23,0,
prepare_birthday_card_74.html,27,0,0,0,0,26,7.477272727272724,44,11,27,17,86,12,0,17,10,
prepare_birthday_card_75.html,21,0,0,0,1,140,3.049999999999995,140,52,64,64,72,56,0,43,16,
prepare_birthday_card_76.html,7,0,0,0,1,112,7.624999999999991,224,29,29,26,148,6,0,35,0,
prepare_birthday_card_77.html,24,0,0,0,1,424,226.34501845018406,542,46,112,112,912,133,0,144,0,
prepare_birthday_card_78.html,8,1,1,0,1,0,1.9859154929577447,71,0,0,0,52,4,0,3,0,
prepare_birthday_card_79.html,18,0,0,0,1,0,1.9253731343283598,67,0,0,0,60,14,0,9,0,
prepare_birthday_card_8.html,69,1,1,0,1,0,1.5833333333333335,12,0,0,0,102,0,0,0,0,
prepare_birthday_card_80.html,6,0,0,0,1,58,3.9953271028037336,214,1,15,15,60,32,0,66,41,
prepare_birthday_card_81.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
prepare_birthday_card_82.html,9,0,0,0,0,153,1.5949367088607598,79,23,31,31,69,31,0,12,0,
prepare_birthday_card_83.html,15,1,1,0,1,151,1.5861111111111068,360,58,64,63,287,7,0,11,0,
prepare_birthday_card_84.html,15,1,1,0,1,257,18.000000000000032,254,81,152,38,415,4,31,6,0,
prepare_birthday_card_85.html,34,0,0,0,1,89,61.08675799086755,219,83,88,84,85,4,0,86,0,
prepare_birthday_card_86.html,11,0,0,0,0,14,1.5999999999999983,85,27,33,14,220,8,2,10,0,
prepare_birthday_card_87.html,24,0,0,0,1,20,1.9400000000000013,100,6,17,15,74,43,0,25,0,
prepare_birthday_card_88.html,19,0,0,0,1,103,2.309677419354833,155,24,38,37,206,100,0,14,0,
prepare_birthday_card_9.html,5,0,0,0,1,208,2.9856115107913612,139,52,53,52,71,2,0,21,0,
prepare_birthday_card_90.html,22,0,0,0,0,160,1.6136363636363629,44,12,56,54,70,82,0,12,0,
prepare_birthday_card_91.html,19,0,0,0,1,5,12.24324324324324,37,2,5,4,155,20,0,21,6,
prepare_birthday_card_92.html,14,1,1,0,0,277,17.629496402877695,278,88,159,38,449,3,31,6,0,
prepare_birthday_card_96.html,16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,
prepare_birthday_card_97.html,32,0,0,0,1,1477,12.314814814814817,54,38,64,63,77,33,0,20,0,
prepare_birthday_card_98.html,34,0,0,0,1,32,2.5853658536585367,123,17,25,8,207,19,0,8,0,
prepare_soup_0.html,40,0,0,0,1,35,9.749999999999995,188,6,9,9,178,15,0,7,0,
prepare_soup_1.html,32,0,0,0,1,40,2.2606382978723376,188,2,23,21,277,67,0,12,0,
prepare_soup_100.html,38,0,0,0,1,33,14.236363636363631,55,2,7,5,159,14,0,16,6,
prepare_soup_101.html,26,0,0,0,1,33,3.9895833333333344,96,1,17,17,250,53,0,29,0,
prepare_soup_102.html,34,0,0,0,1,650,2.78490566037737,265,111,133,126,194,34,0,37,0,
prepare_soup_103.html,24,0,0,0,1,128,2.511434511434506,481,25,79,78,254,62,1,55,0,
prepare_soup_104.html,35,0,0,0,0,29,2.4819277108433746,83,14,17,17,142,28,1,22,0,
prepare_soup_105.html,35,0,0,0,1,25,1.9814814814814854,162,0,8,7,122,23,0,8,0,
prepare_soup_106.html,38,1,1,0,1,29,4.917197452229307,157,15,18,18,145,26,0,1,0,
prepare_soup_107.html,30,1,1,0,1,69,3.181818181818177,165,23,98,11,213,56,6,42,0,
prepare_soup_108.html,51,0,0,0,1,58,2.5432098765432123,81,1,57,57,358,56,0,33,0,
prepare_soup_109.html,24,0,0,0,1,329,165.48734177215218,474,65,115,85,768,6,0,73,0,
prepare_soup_11.html,27,0,0,0,1,118,2.4866310160427862,187,39,63,33,629,43,0,18,0,
